matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
40,dofetilide,CIDm00071329,resolved,CHEMBL473,"[""CHEMBL473""]",unique_structure_match,"[""CHEMBL473""]","[""CHEMBL473""]",CHEMBL473,confirmed_name_structure,very_high,resolved
41,azithromycin,CIDm00447043,resolved,CHEMBL529,"[""CHEMBL529""]",stitch_not_found,[],[],CHEMBL529,name_only_resolved,high,resolved
42,trospium,CIDm00005596,resolved,CHEMBL1888176,"[""CHEMBL1888176""]",stitch_found_no_optimuskg_match,[],[],CHEMBL1888176,name_only_resolved,high,resolved
43,adapalene,CIDm00060164,resolved,CHEMBL1265,"[""CHEMBL1265""]",unique_structure_match,"[""CHEMBL1265""]","[""CHEMBL1265""]",CHEMBL1265,confirmed_name_structure,very_high,resolved
44,midodrine,CIDm00004195,resolved,CHEMBL1201212,"[""CHEMBL1201212""]",multiple_structure_matches,"[""CHEMBL1200461"",""CHEMBL1201212""]","[""CHEMBL1201212""]",CHEMBL1201212,confirmed_name_structure,very_high,resolved
45,pantoprazole,CIDm00004679,resolved,CHEMBL1502,"[""CHEMBL1502""]",multiple_structure_matches,"[""CHEMBL1502"",""CHEMBL3989559""]","[""CHEMBL1502""]",CHEMBL1502,confirmed_name_structure,very_high,resolved
46,torasemide,CIDm00041781,resolved,CHEMBL1148,"[""CHEMBL1148""]",unique_structure_match,"[""CHEMBL1148""]","[""CHEMBL1148""]",CHEMBL1148,confirmed_name_structure,very_high,resolved
47,citalopram,CIDm00002771,resolved,CHEMBL549,"[""CHEMBL549""]",multiple_structure_matches,"[""CHEMBL1200322"",""CHEMBL1200781"",""CHEMBL1508"",""CHEMBL549""]","[""CHEMBL549""]",CHEMBL549,confirmed_name_structure,very_high,resolved
48,eletriptan,CIDm00077993,resolved,CHEMBL1510,"[""CHEMBL1510""]",multiple_structure_matches,"[""CHEMBL1201003"",""CHEMBL1510""]","[""CHEMBL1510""]",CHEMBL1510,confirmed_name_structure,very_high,resolved
49,moxifloxacin,CIDm00101526,resolved,CHEMBL32,"[""CHEMBL32""]",stitch_not_found,[],[],CHEMBL32,name_only_resolved,high,resolved
50,nelfinavir,CIDm00064142,resolved,CHEMBL584,"[""CHEMBL584""]",stitch_not_found,[],[],CHEMBL584,name_only_resolved,high,resolved
51,glimepiride,CIDm00003476,resolved,CHEMBL1481,"[""CHEMBL1481""]",stitch_found_no_optimuskg_match,[],[],CHEMBL1481,name_only_resolved,high,resolved
52,indinavir,CIDm05362440,resolved,CHEMBL115,"[""CHEMBL115""]",stitch_not_found,[],[],CHEMBL115,name_only_resolved,high,resolved
53,lovastatin,CIDm00053232,resolved,CHEMBL503,"[""CHEMBL503""]",stitch_not_found,[],[],CHEMBL503,name_only_resolved,high,resolved
54,pregabalin,CIDm05486971,resolved,CHEMBL1059,"[""CHEMBL1059""]",stitch_not_found,[],[],CHEMBL1059,name_only_resolved,high,resolved
55,temazepam,CIDm00005391,resolved,CHEMBL967,"[""CHEMBL967""]",unique_structure_match,"[""CHEMBL967""]","[""CHEMBL967""]",CHEMBL967,confirmed_name_structure,very_high,resolved
56,reboxetine,CIDm00065856,resolved,CHEMBL14370,"[""CHEMBL14370"",""CHEMBL180101"",""CHEMBL383921""]",multiple_structure_matches,"[""CHEMBL14370"",""CHEMBL180101"",""CHEMBL383921""]","[""CHEMBL14370"",""CHEMBL180101"",""CHEMBL383921""]",CHEMBL14370,confirmed_name_structure,very_high,resolved
57,nevirapine,CIDm00004463,resolved,CHEMBL57,"[""CHEMBL57""]",unique_structure_match,"[""CHEMBL57""]","[""CHEMBL57""]",CHEMBL57,confirmed_name_structure,very_high,resolved
58,cladribine,CIDm00020279,resolved,CHEMBL1619,"[""CHEMBL1619""]",stitch_not_found,[],[],CHEMBL1619,name_only_resolved,high,resolved
59,ranolazine,CIDm00056959,resolved,CHEMBL1404,"[""CHEMBL1404""]",unique_structure_match,"[""CHEMBL1404""]","[""CHEMBL1404""]",CHEMBL1404,confirmed_name_structure,very_high,resolved
60,mesalazine,CIDm00004075,resolved,CHEMBL704,"[""CHEMBL704""]",unique_structure_match,"[""CHEMBL704""]","[""CHEMBL704""]",CHEMBL704,confirmed_name_structure,very_high,resolved
61,ziprasidone,CIDm00060853,resolved,CHEMBL708,"[""CHEMBL708""]",multiple_structure_matches,"[""CHEMBL1375743"",""CHEMBL3989833"",""CHEMBL708""]","[""CHEMBL708""]",CHEMBL708,confirmed_name_structure,very_high,resolved
62,cabergoline,CIDm00054746,resolved,CHEMBL1201087,"[""CHEMBL1201087""]",stitch_not_found,[],[],CHEMBL1201087,name_only_resolved,high,resolved
63,dapsone,CIDm00002955,resolved,CHEMBL1043,"[""CHEMBL1043""]",unique_structure_match,"[""CHEMBL1043""]","[""CHEMBL1043""]",CHEMBL1043,confirmed_name_structure,very_high,resolved
64,terconazole,CIDm00441383,resolved,CHEMBL1306,"[""CHEMBL1306""]",stitch_not_found,[],[],CHEMBL1306,name_only_resolved,high,resolved
65,phenytoin,CIDm00001775,resolved,CHEMBL16,"[""CHEMBL16""]",multiple_structure_matches,"[""CHEMBL16"",""CHEMBL1611""]","[""CHEMBL16""]",CHEMBL16,confirmed_name_structure,very_high,resolved
66,doxycycline,CIDm54671203,resolved,CHEMBL1200699,"[""CHEMBL1200699"",""CHEMBL1433""]",stitch_not_found,[],[],CHEMBL1200699,supported_canonical_name,high,resolved
67,anagrelide,CIDm00002182,ambiguous,"","[""CHEMBL760"",""RXNORM:596724""]",multiple_structure_matches,"[""CHEMBL1200759"",""CHEMBL760""]","[""CHEMBL760""]",CHEMBL760,resolved_by_unique_intersection,very_high,resolved
68,carmustine,CIDm00002578,resolved,CHEMBL513,"[""CHEMBL513""]",unique_structure_match,"[""CHEMBL513""]","[""CHEMBL513""]",CHEMBL513,confirmed_name_structure,very_high,resolved
